file_name,sensor,segment_id,signal,fault_class,fault_class_id,relative_path,folder,sampling_freq,original_fs,signal_length,augmentation
290_0.mat,DE,0-60000,"[-0.00284261  0.06091317  0.10517675 ...  0.0300505  -0.00406088
 -0.04548184]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,DE,12000-72000,"[-0.07553234  0.07878104  0.06741058 ...  0.16040469  0.07593842
 -0.07837495]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,DE,24000-84000,"[ 0.00609132  0.01258872  0.17746038 ... -0.03939052  0.143349
  0.05563403]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,DE,36000-96000,"[-0.13482116 -0.05604012  0.03208094 ... -0.08284192 -0.04426357
  0.21279002]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,DE,48000-108000,"[-0.11126806 -0.17786647 -0.06497405 ...  0.02477136  0.07309581
  0.09543064]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,DE,60000-120000,"[-0.04182705 -0.00203044  0.04832445 ...  0.03167485  0.05766447
  0.03208094]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,FE,0-60000,"[-0.03008052  0.05121818  0.         ... -0.12032208  0.11625714
  0.12845195]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,FE,12000-72000,"[-0.0626     -0.1691013  -0.00447143 ...  0.02723506 -0.08942857
 -0.05162468]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,FE,24000-84000,"[-0.02357662  0.          0.06788442 ... -0.19755584  0.00812987
 -0.08007922]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
290_0.mat,FE,36000-96000,"[ 0.11991558  0.0873961  -0.0439013  ... -0.21666104  0.02967403
  0.19633636]",B,2,12k_Fan_End_Bearing_Fault_Data/B/021/290_0.mat,12k_Fan_End_Bearing_Fault_Data,12000,12000,60000,
